name,artist,,,tags,,year,,,,,,,,,
Mr. Brightside,The Killers,,," indie_rock, ",,2004,,,,,,,,,
Wonderwall,Oasis,,," indie, pop",,2006,,,,,,,,,
Come as You Are,Nirvana,,,grunge,,1991,,,,,,,,,
Take Me Out,Franz Ferdinand,,, britpop,,2004,,,,,,,,,
Creep,Radiohead,,, alternative,,2008,,,,,,,,,
Somebody Told Me,The Killers,,, indie_rock,,2005,,,,,,,,,
Viva la Vida,Coldplay,,,pop,,2013,,,,,,,,,
Karma Police,Radiohead,,,alternative,,1996,,,,,,,,,
The Scientist,Coldplay,,,pop,,2007,,,,,,,,,
Clocks,Coldplay,,,pop,,2002,,,,,,,,,
Under the Bridge,Red Hot Chili Peppers,,,"rock, alternative, alternative_rock, 90s, funk",,2003,,,,,,,,,
Seven Nation Army,The White Stripes,,,"rock, alternative, indie, alternative_rock, indie_rock",,2008,,,,,,,,,
Feel Good Inc.,Gorillaz,,,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, trip_hop",,2010,,,,,,,,,
Chop Suey!,System of a Down,,,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2008,,,,,,,,,
Fix You,Coldplay,,,"rock, alternative, indie, pop, alternative_rock, british, love, beautiful, britpop, mellow",,2016,,,,,,,,,
Lithium,Nirvana,,,"rock, alternative, alternative_rock, 90s, grunge",,1991,,,,,,,,,
Song 2,Blur,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,2012,,,,,,,,,
In the End,Linkin Park,,,"rock, alternative, metal, alternative_rock, nu_metal",,2000,,,,,,,,,
Chasing Cars,Snow Patrol,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, britpop, mellow",,2006,,,,,,,,,
Otherside,Red Hot Chili Peppers,,,"rock, alternative, alternative_rock, 90s, funk",,2014,,,,,,,,,
When You Were Young,The Killers,,,"rock, alternative, indie, alternative_rock, indie_rock",,2012,,,,,,,,,
Supermassive Black Hole,Muse,,,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,2010,,,,,,,,,
Bohemian Rhapsody,Queen,,,"rock, classic_rock, hard_rock, 80s, british, 70s",,2016,,,,,,,,,
Use Somebody,Kings of Leon,,,"rock, alternative, indie, alternative_rock, indie_rock",,2003,,,,,,,,,
Starlight,Muse,,,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british, beautiful, britpop",,2006,,,,,,,,,
Paranoid Android,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop",,2012,,,,,,,,,
Everlong,Foo Fighters,,,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",,2009,,,,,,,,,
No Surprises,Radiohead,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",,2008,,,,,,,,,
Iris,Goo Goo Dolls,,,"rock, alternative, pop, alternative_rock, soundtrack, 90s, love, beautiful",,2013,,,,,,,,,
Numb,Linkin Park,,,"rock, alternative, metal, alternative_rock, nu_metal",,2003,,,,,,,,,
Zombie,The Cranberries,,,"rock, alternative, female_vocalists, alternative_rock, 90s",,2007,,,,,,,,,
Dani California,Red Hot Chili Peppers,,,"rock, alternative, alternative_rock, funk",,2006,,,,,,,,,
Stairway to Heaven,Led Zeppelin,,,"rock, classic_rock, hard_rock, progressive_rock, 70s",,2013,,,,,,,,,
Welcome to the Jungle,Guns N' Roses,,,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,2014,,,,,,,,,
